field                                                                   type     sum            min                  max                                 min_length  max_length  mean                    stddev                median     mode                                           cardinality
te ayudamos:pedidos en curso                                            Integer  4              0                    1                                   1           1           0.0007604562737642596   0.027565884350405828  0          0                                              2
te ayudamos:resumen                                                     Integer  1              0                    1                                   1           1           0.00019011406844106436  0.013786875102141365  0          0                                              2
te puede interesar:contacta                                             Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
te puede interesar:mobile connect                                       Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
te puede interesar:por ser de vodafone                                  Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
te puede interesar:seguimiento                                          Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
television y mas:amazon prime                                           Integer  439            0                    1                                   1           1           0.08346007604562718     0.2765763759833539    0          0                                              2
television y mas:filmin                                                 Integer  7              0                    1                                   1           1           0.0013307984790874548   0.036455828813723445  0          0                                              2
television y mas:hbo espana                                             Integer  608            0                    1                                   1           1           0.11558935361216732     0.3197318484975943    0          0                                              2
television y mas:television                                             Integer  1877           0                    1                                   1           1           0.35684410646387693     0.47906825207466414   0          0                                              2
television y mas:tidal                                                  Integer  285            0                    1                                   1           1           0.054182509505703295    0.22637748379502715   0          0                                              2
television y mas:tv online                                              Integer  730            0                    1                                   1           1           0.1387832699619768      0.3457202249516783    0          0                                              2
television:tv filmin                                                    Integer  321            0                    1                                   1           1           0.061026615969581775    0.239379130487357     0          0                                              2
vodafone tv:resumen tv                                                  Integer  556            0                    1                                   1           1           0.10570342205323215     0.3074576533759869    0          0                                              2
vodafone tv:upselling                                                   Integer  7              0                    1                                   1           1           0.001330798479087453    0.0364558288137235    0          0                                              2
cliente activo                                                          Integer  5008           0                    1                                   1           1           0.9520912547528547      0.21357316632946227   1          1                                              2
desconectado                                                            Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
pendiente de cambio                                                     Integer  807            0                    1                                   1           1           0.15342205323193908     0.3603938495785344    0          0                                              2
pendiente de desconectar                                                Integer  14             0                    1                                   1           1           0.0026615969581749092   0.05152196482867418   0          0                                              2
pendiente de instalar                                                   Integer  96             0                    1                                   1           1           0.018250950570342143    0.13385758616388213   0          0                                              2
